[1:17:31 AM] [DATA] 🕯️  Candle: 675.44 | O:674.87 H:675.72 L:674.26
[1:17:32 AM] [DATA] 🕯️  Candle: 675.24 | O:674.87 H:675.72 L:674.26
[1:17:34 AM] [DATA] 🕯️  Candle: 675.20 | O:674.87 H:675.72 L:674.26
[1:17:36 AM] [DATA] 🕯️  Candle: 675.19 | O:674.87 H:675.72 L:674.26
[1:17:38 AM] [DATA] 🕯️  Candle: 675.10 | O:674.87 H:675.72 L:674.26
[1:17:40 AM] [DATA] 🕯️  Candle: 675.09 | O:674.87 H:675.72 L:674.26
[1:17:42 AM] [DATA] 🕯️  Candle: 675.00 | O:674.87 H:675.72 L:674.26
[1:17:44 AM] [DATA] 🕯️  Candle: 675.10 | O:674.87 H:675.72 L:674.26
[1:17:46 AM] [DATA] 🕯️  Candle: 674.69 | O:674.87 H:675.72 L:674.26
[1:17:48 AM] [DATA] 🕯️  Candle: 674.77 | O:674.87 H:675.72 L:674.26
[1:17:50 AM] [DATA] 🕯️  Candle: 674.84 | O:674.87 H:675.72 L:674.26
[1:17:52 AM] [DATA] 🕯️  Candle: 674.82 | O:674.87 H:675.72 L:674.26
[1:17:54 AM] [DATA] 🕯️  Candle: 675.15 | O:674.87 H:675.72 L:674.26
[1:17:56 AM] [DATA] 🕯️  Candle: 675.26 | O:674.87 H:675.72 L:674.26
[1:17:58 AM] [DATA] 🕯️  Candle: 674.99 | O:674.87 H:675.72 L:674.26
[1:18:00 AM] [DATA] 🕯️  Candle: 674.92 | O:674.92 H:674.92 L:674.92
[1:18:02 AM] [DATA] 🕯️  Candle: 675.19 | O:674.92 H:675.19 L:674.92
[1:18:04 AM] [DATA] 🕯️  Candle: 675.13 | O:674.92 H:675.19 L:674.92
[1:18:06 AM] [DATA] 🕯️  Candle: 674.89 | O:674.92 H:675.19 L:674.89
[1:18:08 AM] [DATA] 🕯️  Candle: 675.15 | O:674.92 H:675.19 L:674.89
